Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
HILIC-neg_Cluster_0622,3.809685,229.097974,5,Harmala alkaloids,"1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",[M-H]-
C18-neg_Cluster_0183,1.282739,259.072196,2,Harmala alkaloids,"1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",[M-H]-
C18-neg_Cluster_0393,10.162391,313.238314,#N/A,Long-chain fatty acids,12.13-diHOME,[M-H]-
HILIC-neg_Cluster_0480,3.832780,209.067885,#N/A,Imidazopyrimidines,1-3-7-trimethylurate,[M-H]-
C18-neg_Cluster_0530,16.986972,337.310869,#N/A,Very long-chain fatty acids,13-docosenoate,[M-H]-
HILIC-pos_Cluster_0245,5.196976,166.071783,#N/A,Imidazopyrimidines,1-methylguanine,[M+H]+
HILIC-pos_Cluster_0110,8.138234,137.070572,#N/A,Pyridinecarboxylic acids and derivatives,1-methylnicotinamide,[M+H]+
HILIC-neg_Cluster_0032,3.037586,102.056011,#N/A,L-alpha-amino acids,2-aminobutyric acid,[M-H]-
HILIC-pos_Cluster_0728,5.144115,252.108028,1,Purine nucleosides,2-deoxyadenosine,[M+H]+
HILIC-neg_Cluster_0113,3.663407,131.071198,3,Hydroxy fatty acids,2-hydroxy-3-methylpentanoic acid /  leucinic acid,[M-H]-
HILIC-neg_Cluster_0169,7.205254,147.029673,#N/A,Hydroxy acids and derivatives,2-hydroxyglutarate,[M-H]-
C18-neg_Cluster_0219,13.929959,271.228079,11,#N/A,2-hydroxyhexadecanoate,[M-H]-
C18-neg_Cluster_0144,12.518107,243.196061,11,Long-chain fatty acids,2-hydroxymyristic acid,[M-H]-
HILIC-pos_Cluster_0114,6.220723,138.090932,3,Organonitrogen compounds,2-hydroxyphenethylamine,[M+H]+
HILIC-neg_Cluster_0161,7.166747,145.050329,#N/A,Methyl-branched fatty acids,2-methylglutaric acid,[M-H]-
HILIC-neg_Cluster_0220,7.313638,159.065982,3,Medium-chain fatty acids,3-methyladipate-pimelate,[M-H]-
HILIC-pos_Cluster_0272,9.833021,170.091783,#N/A,Histidine and derivatives,3-methylhistidine,[M+H]+
HILIC-pos_Cluster_0254,3.279602,167.055805,#N/A,Imidazopyrimidines,3-methylxanthine,[M+H]+
HILIC-pos_Cluster_0150,7.207806,146.091958,#N/A,Gamma amino acids and derivatives,4-guanidinobutanoic acid,[M+H]+
HILIC-pos_Cluster_0177,1.695767,151.074856,#N/A,Alkyl-phenylketones,4-hydroxy-3-methylacetophenone,[M+H]+
HILIC-neg_Cluster_0079,2.527884,121.029504,#N/A,Hydroxybenzaldehydes,4-hydroxybenzaldehyde,[M-H]-
C18-neg_Cluster_0004,2.554039,119.048864,#N/A,Styrenes,4-hydroxystyrene,[M-H]-
HILIC-neg_Cluster_0084,1.366308,123.045022,1,Phenols,4-methylcatechol,[M-H]-
HILIC-neg_Cluster_0133,4.081432,138.019547,#N/A,Nitrophenols,4-nitrophenol,[M-H]-
