# Feature / Sample,PRISM|7122,PRISM|7147,PRISM|7150,PRISM|7153,PRISM|7184,PRISM|7238,PRISM|7406,PRISM|7408,PRISM|7421,PRISM|7445,PRISM|7486,PRISM|7496,PRISM|7506,PRISM|7547,PRISM|7658,PRISM|7662,PRISM|7744,PRISM|7759,PRISM|7762,PRISM|7776,PRISM|7791,PRISM|7843,PRISM|7847,PRISM|7852,PRISM|7855,PRISM|7858,PRISM|7860,PRISM|7861,PRISM|7862,PRISM|7870,PRISM|7874,PRISM|7875,PRISM|7879,PRISM|7897,PRISM|7899,PRISM|7904,PRISM|7906,PRISM|7908,PRISM|7909,PRISM|7910,PRISM|7911,PRISM|7912,PRISM|7938,PRISM|7941,PRISM|7947,PRISM|7948,PRISM|7955,PRISM|7971,PRISM|7989,PRISM|8095,PRISM|8096,PRISM|8101,PRISM|8106,PRISM|8129,PRISM|8226,PRISM|8244,PRISM|8264,PRISM|8275,PRISM|8283,PRISM|8332,PRISM|8336,PRISM|8361,PRISM|8374,PRISM|8377,PRISM|8406,PRISM|8441,PRISM|8444,PRISM|8447,PRISM|8452,PRISM|8458,PRISM|8462,PRISM|8464,PRISM|8466,PRISM|8467,PRISM|8475,PRISM|8480,PRISM|8483,PRISM|8485,PRISM|8496,PRISM|8502,PRISM|8503,PRISM|8511,PRISM|8513,PRISM|8515,PRISM|8523,PRISM|8534,PRISM|8537,PRISM|8550,PRISM|8564,PRISM|8565,PRISM|8573,PRISM|8577,PRISM|8589,PRISM|8591,PRISM|8592,PRISM|8605,PRISM|8624,PRISM|8628,PRISM|8629,PRISM|8667,PRISM|8675,PRISM|8683,PRISM|8692,PRISM|8696,PRISM|8728,PRISM|8734,PRISM|8735,PRISM|8746,PRISM|8749,PRISM|8753,PRISM|8754,PRISM|8758,PRISM|8764,PRISM|8765,PRISM|8774,PRISM|8776,PRISM|8778,PRISM|8783,PRISM|8784,PRISM|8785,PRISM|8788,PRISM|8789,PRISM|8794,PRISM|8795,PRISM|8800,PRISM|8802,PRISM|8803,PRISM|8805,PRISM|8806,PRISM|8807,PRISM|8809,PRISM|8815,PRISM|8841,PRISM|8843,PRISM|8844,PRISM|8846,PRISM|8847,PRISM|8849,PRISM|8878,PRISM|8882,PRISM|8892,PRISM|8894,PRISM|8898,PRISM|8924,PRISM|8932,PRISM|8982,PRISM|8998,PRISM|9010,PRISM|9018,PRISM|9030,PRISM|9033,PRISM|9074,PRISM|9079,PRISM|9126,PRISM|9148,Validation|LLDeep_0001,Validation|LLDeep_0003,Validation|LLDeep_0010,Validation|LLDeep_0011,Validation|LLDeep_0012,Validation|LLDeep_0015,Validation|LLDeep_0018,Validation|LLDeep_0021,Validation|LLDeep_0022,Validation|LLDeep_0024,Validation|LLDeep_0026,Validation|LLDeep_0027,Validation|LLDeep_0028,Validation|LLDeep_0029,Validation|LLDeep_0030,Validation|LLDeep_0033,Validation|LLDeep_0034,Validation|LLDeep_0037,Validation|LLDeep_0039,Validation|LLDeep_0043,Validation|LLDeep_0047,Validation|LLDeep_0052,Validation|UMCGIBD00072,Validation|UMCGIBD00122,Validation|UMCGIBD00030,Validation|UMCGIBD00167,Validation|UMCGIBD00208,Validation|UMCGIBD00032,Validation|UMCGIBD00529,Validation|UMCGIBD00371,Validation|UMCGIBD00145,Validation|UMCGIBD00613,Validation|UMCGIBD00004,Validation|UMCGIBD00053,Validation|UMCGIBD00269,Validation|UMCGIBD00250,Validation|UMCGIBD00327,Validation|UMCGIBD00249,Validation|UMCGIBD00461,Validation|UMCGIBD00266,Validation|UMCGIBD00347,Validation|UMCGIBD00645,Validation|UMCGIBD00361,Validation|UMCGIBD00485,Validation|UMCGIBD00041,Validation|UMCGIBD00126,Validation|UMCGIBD00082,Validation|UMCGIBD00442,Validation|UMCGIBD00412,Validation|UMCGIBD00539,Validation|UMCGIBD00077,Validation|UMCGIBD00141,Validation|UMCGIBD00389,Validation|UMCGIBD00112,Validation|UMCGIBD00508,Validation|UMCGIBD00588,Validation|UMCGIBD00106,Validation|UMCGIBD00393,Validation|UMCGIBD00458,Validation|UMCGIBD00254,Validation|UMCGIBD00593,Validation|UMCGIBD00233,Validation|UMCGIBD00238,Validation|UMCGIBD00027,Validation|UMCGIBD00064
SRA_metagenome_name,G36386,G48796,G48780,G36390,G36356,G36387,G48804,G48815,G36378,G36381,G36379,G72672,G48799,G48823,G36351,G72717,G36371,G36380,G72673,G72674,G36368,G36369,G72718,G72675,G72719,G72720,G72721,G72722,G72723,G72724,G72725,G36348,G72726,G72676,G72727,G72733,G72734,G72728,G72729,G72735,G72730,G72731,G36382,G36349,G36374,G36350,G72732,G36347,G36383,G36370,G72677,G72678,G72679,G72680,G36389,G48787,G36384,G48781,G48798,G48783,G36385,G36392,G36357,G36372,G48827,G72681,G72682,G72683,G36354,G72684,G36352,G72685,G36365,G36353,G36355,G72686,G36394,G36366,G36358,G72687,G72688,G72689,G72690,G72691,G36360,G36361,G35127,G36359,G36362,G48806,G36367,G35128,G72714,G36363,G36395,G72692,G36375,G72693,G36396,G72694,G35152,G72715,G72695,G72696,G48791,G48784,G48840,G48805,G48820,G48777,G48789,G48786,G48792,G48790,G48831,G48793,G48794,G48795,G48826,G48802,G48808,G72716,G48807,G72697,G48810,G48817,G48812,G48814,G48819,G48841,G48822,G48821,G48842,G48839,G72698,G48832,G48838,G48836,G72671,G72699,G72670,G72701,G72702,G72703,G72704,G72705,G72713,G72706,G72708,G72709,G72710,G72711,G72712,G72736,G72737,G83321,G83168,G83192,G82952,G82627,G83955,G83885,G84147,G83001,G83234,G82738,G83335,G82708,G83327,G82698,G83913,G82666,G82589,G82786,G83901,G83831,G84104,G85420,G85171,G85128,G85127,G85384,G85185,G85117,G85182,G85404,G85246,G85364,G85199,G85379,G85129,G85089,G85161,G85315,G85361,G85165,G85245,G85291,G85408,G85226,G85180,G85387,G85230,G85401,G85373,G85163,G85369,G85385,G85213,G85181,G85257,G85419,G85340,G85418,G85122,G85136,G85405,G85166,G85210,G85342
Age,38,50,41,51,68,67,59,52,58,58,28,24,71,38,55,32,49,29,40,29,34,58,23,58,25,27,23,23,26,26,44,45,30,32,24,24,24,23,24,24,26,25,64,32,58,61,43,60,36,60,26,37,21,22,40,47,42,65,39,62,29,47,30,24,24,25,69,66,26,32,41,28,25,27,66,35,36,51,54,20,64,27,72,64,46,57,42,30,31,55,31,61,58,35,61,27,29,71,77,74,30,82,68,30,31,29,28,21,25,30,30,51,30,31,30,32,37,28,61,36,33,32,24,31,29,73,74,23,31,43,63,38,26,28,27,55,22,33,24,62,26,75,29,31,72,76,62,41,30,59,71,35,68,67,22,40,41,26,33,32,35,28,35,35,53,53,51,50,49,48,36,32,46,40,32,52,51,44,64,61,63,61,30,64,28,43,29,28,30,70,80,75,28,67,23,28,19,67,36,59,52,48,50,28,77,55,45,67,38,21,68,42,65,44,71,21,32,38,51,43
Diagnosis,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,UC,UC,CD,CD,Control,CD,CD,UC,UC,CD,CD,Control,UC,Control,Control,Control,Control,Control,Control,Control,CD,Control,UC,Control,Control,Control,Control,Control,Control,Control,Control,CD,CD,CD,CD,Control,CD,CD,CD,UC,UC,UC,UC,CD,Control,CD,UC,Control,Control,CD,CD,CD,CD,CD,UC,UC,UC,CD,UC,CD,UC,CD,CD,CD,UC,CD,CD,CD,UC,UC,UC,UC,UC,CD,CD,CD,CD,CD,CD,CD,CD,Control,CD,CD,UC,CD,UC,CD,UC,CD,Control,UC,UC,UC,UC,UC,CD,CD,CD,Control,CD,Control,Control,Control,Control,UC,CD,Control,UC,Control,Control,CD,UC,CD,CD,UC,UC,CD,CD,UC,UC,CD,CD,UC,UC,CD,UC,CD,UC,CD,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CD,UC,CD,UC,UC,CD,UC,UC,CD,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,UC,CD,CD,CD,CD,CD,UC,UC,CD,CD,UC,CD,CD,UC,CD,UC,CD,CD,UC,CD,CD,CD,CD
Fecal.Calprotectin,207,#N/A,218,#N/A,20,3,#N/A,#N/A,79,32,242,18,#N/A,#N/A,100,14,12,40,7,18,178,156,5,68,87,1,2,5,1,101,2,223,19,53,15,17,2,#N/A,6,8,40,22,118,261,49,78,#N/A,3,47,109,277,#N/A,266,242,260,2,211,210,#N/A,#N/A,254,35,231,217,#N/A,8,32,165,211,11,145,166,9,4,239,235,206,226,#N/A,#N/A,12,247,32,153,231,62,#N/A,241,21,250,34,213,151,238,16,231,200,194,2,#N/A,24,205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,240,#N/A,210,#N/A,#N/A,22,#N/A,#N/A,#N/A,#N/A,145,#N/A,224,56,#N/A,#N/A,#N/A,257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,46,10,91,18,98,71,22,360,125,10,21,107,29,10,14,37,16,56,47,13,10,#N/A,64,40,280,40,46,40,41,40,40,2170,40,510,2440,#N/A,130,40,435,#N/A,40,57,175,#N/A,86,175,340,225,415,160,305,220,625,40,440,40,130,165,195,40,45,305,44,#N/A
antibiotic,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,#N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,#N/A,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,#N/A,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
immunosuppressant,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
mesalamine,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,#N/A,Yes,Yes,#N/A,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No
steroids,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,#N/A,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,#N/A,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
Methanobrevibacter_smithii,0,0.0000192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225457,0,0,0,0,0,0,0,0,0,0,0,0.0097628,0.023053,0.0164966,0,0,0.0272332,0,0.0094226,0,0,0,0,0,0,0,0,0,0,0,0.044824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406303,0.000371,0,0,0,0,0,0,0,0,0,0,0,0,0.04382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154175,0,0,0,0,0.0006445,0,0.0381354,0,0,0,0,0,0,0,0.0446944,0,0,0,0.0386092,0,0,0,0.0002882,0,0,0,0,0.10711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304392,0,0,0,0.0263586,0,0,0,0,0.0049057,0,0,0,0,0.0497665,0,0,0,0.000063,0,0.0062127,0.0621713,0,0,0,0,0.0526162,0,0,0.0818701,0,0.0801531,0.0000029,0.0047169,0.0258353,0,0,0,0,0.0343283,0.107942,0,0,0,0,0,0,0,0,0.0241905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832784,0,0,0,0,0.024554,0,0,0,0
Methanosphaera_stadtmanae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034884,0,0,0,0,0,0,0,0,0.0046064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia_mucilaginosa,0,0.0000094,0,0,0,0,0.000521,0.0000584,0.0001036,0,0,0.0000357,0.0000056,0.0000337,0.0000482,0,0,0,0.0000245,0.0000341,0,0,0,0,0,0,0.000024,0,0,0,0,0,0,0.0000274,0,0,0,0,0,0,0,0.0000787,0,0,0,0,0,0,0.0004318,0,0,0,0,0.0000446,0.0028929,0,0.0006654,0,0,0.0000006,0.0002541,0,0,0,0.0000266,0.0002778,0,0,0.0037121,0,0.0000977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020701,0,0,0,0.0010742,0,0,0.0000339,0,0,0,0,0.0006799,0.0001463,0,0.000155,0.0001524,0,0.0001027,0.0000024,0.0000295,0.0024911,0.0001424,0.000005,0,0.0000542,0,0.000022,0.0004145,0,0.0000179,0,0.000081,0,0,0.0000611,0,0.0001055,0,0.0000354,0,0.0006957,0.0000498,0.0002027,0,0.0002269,0,0.000195,0.0000231,0,0.0002005,0.0000428,0.0000311,0,0,0,0,0,0,0.0001778,0,0,0,0,0,0,0,0,0.0002288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
